,Fault Source Name,Slip Rate,Lower Seismogenic Depth,Dip,Magnitude Scaling Relationship,Mmax (L),Mmax (P),Mmax (U)
0,FallaPurgatorio,Upper,Upper,Upper,Upper,7.08,7.38,7.68
1,FallaIncapuquio,Upper,Upper,Upper,Upper,7.33,7.63,7.93
2,FallaMicalaco,Upper,Upper,Upper,Upper,6.85,7.15,7.45
3,FallaCerroRocoso,Upper,Upper,Upper,Upper,6.45,6.75,7.05
4,FallaChascoso,Upper,Upper,Upper,Upper,6.08,6.38,6.68
5,FallaChololo,Upper,Upper,Upper,Upper,7.16,7.46,7.76
6,FallaChulibaya,Upper,Upper,Upper,Upper,6.3,6.6,6.9
7,FallaCupine-pampaTrapiche,Upper,Upper,Upper,Upper,7.37,7.67,7.97
8,FallaMesacalane,Upper,Upper,Upper,Upper,6.31,6.61,6.91
9,FallaTambo,Upper,Upper,Upper,Upper,7.01,7.31,7.61
10,FallaToquepala,Upper,Upper,Upper,Upper,7.1,7.4,7.7
11,ZonadefallasCarumas-Calacoa,Upper,Upper,Upper,Upper,7.17,7.47,7.77
12,ZonadefallasCoralaque,Upper,Upper,Upper,Upper,6.81,7.11,7.41
13,ZonadefallasHuaynaputina,Upper,Upper,Upper,Upper,6.89,7.19,7.49
14,ZonadefallasIchuna,Upper,Upper,Upper,Upper,7.32,7.62,7.92
15,ZonadefallasPastoGrande,Upper,Upper,Upper,Upper,7.08,7.38,7.68
16,ZonadefallasTicsani-Suches,Upper,Upper,Upper,Upper,6.95,7.25,7.55
17,FallaPurgatorio,Upper,Pref,Upper,Upper,7.0,7.3,7.6
18,FallaIncapuquio,Upper,Pref,Upper,Upper,7.25,7.55,7.85
19,FallaMicalaco,Upper,Pref,Upper,Upper,6.77,7.07,7.37
20,FallaCerroRocoso,Upper,Pref,Upper,Upper,6.37,6.67,6.97
21,FallaChascoso,Upper,Pref,Upper,Upper,6.0,6.3,6.6
22,FallaChololo,Upper,Pref,Upper,Upper,7.08,7.38,7.68
23,FallaChulibaya,Upper,Pref,Upper,Upper,6.22,6.52,6.82
24,FallaCupine-pampaTrapiche,Upper,Pref,Upper,Upper,7.29,7.59,7.89
25,FallaMesacalane,Upper,Pref,Upper,Upper,6.24,6.54,6.84
26,FallaTambo,Upper,Pref,Upper,Upper,6.93,7.23,7.53
27,FallaToquepala,Upper,Pref,Upper,Upper,7.02,7.32,7.62
28,ZonadefallasCarumas-Calacoa,Upper,Pref,Upper,Upper,7.09,7.39,7.69
29,ZonadefallasCoralaque,Upper,Pref,Upper,Upper,6.73,7.03,7.33
30,ZonadefallasHuaynaputina,Upper,Pref,Upper,Upper,6.81,7.11,7.41
31,ZonadefallasIchuna,Upper,Pref,Upper,Upper,7.24,7.54,7.84
32,ZonadefallasPastoGrande,Upper,Pref,Upper,Upper,7.0,7.3,7.6
33,ZonadefallasTicsani-Suches,Upper,Pref,Upper,Upper,6.87,7.17,7.47
34,FallaPurgatorio,Upper,Lower,Upper,Upper,6.91,7.21,7.51
35,FallaIncapuquio,Upper,Lower,Upper,Upper,7.15,7.45,7.75
36,FallaMicalaco,Upper,Lower,Upper,Upper,6.68,6.98,7.28
37,FallaCerroRocoso,Upper,Lower,Upper,Upper,6.28,6.58,6.88
38,FallaChascoso,Upper,Lower,Upper,Upper,5.9,6.2,6.5
39,FallaChololo,Upper,Lower,Upper,Upper,6.98,7.28,7.58
40,FallaChulibaya,Upper,Lower,Upper,Upper,6.12,6.42,6.72
41,FallaCupine-pampaTrapiche,Upper,Lower,Upper,Upper,7.19,7.49,7.79
42,FallaMesacalane,Upper,Lower,Upper,Upper,6.14,6.44,6.74
43,FallaTambo,Upper,Lower,Upper,Upper,6.84,7.14,7.44
44,FallaToquepala,Upper,Lower,Upper,Upper,6.93,7.23,7.53
45,ZonadefallasCarumas-Calacoa,Upper,Lower,Upper,Upper,6.99,7.29,7.59
46,ZonadefallasCoralaque,Upper,Lower,Upper,Upper,6.63,6.93,7.23
47,ZonadefallasHuaynaputina,Upper,Lower,Upper,Upper,6.71,7.01,7.31
48,ZonadefallasIchuna,Upper,Lower,Upper,Upper,7.15,7.45,7.75
49,ZonadefallasPastoGrande,Upper,Lower,Upper,Upper,6.91,7.21,7.51
50,ZonadefallasTicsani-Suches,Upper,Lower,Upper,Upper,6.77,7.07,7.37
51,FallaPurgatorio,Upper,Upper,Upper,Pref,7.08,7.38,7.68
52,FallaIncapuquio,Upper,Upper,Upper,Pref,7.33,7.63,7.93
53,FallaMicalaco,Upper,Upper,Upper,Pref,6.85,7.15,7.45
54,FallaCerroRocoso,Upper,Upper,Upper,Pref,6.45,6.75,7.05
55,FallaChascoso,Upper,Upper,Upper,Pref,6.08,6.38,6.68
56,FallaChololo,Upper,Upper,Upper,Pref,7.16,7.46,7.76
57,FallaChulibaya,Upper,Upper,Upper,Pref,6.3,6.6,6.9
58,FallaCupine-pampaTrapiche,Upper,Upper,Upper,Pref,7.37,7.67,7.97
59,FallaMesacalane,Upper,Upper,Upper,Pref,6.31,6.61,6.91
60,FallaTambo,Upper,Upper,Upper,Pref,7.01,7.31,7.61
61,FallaToquepala,Upper,Upper,Upper,Pref,7.1,7.4,7.7
62,ZonadefallasCarumas-Calacoa,Upper,Upper,Upper,Pref,7.17,7.47,7.77
63,ZonadefallasCoralaque,Upper,Upper,Upper,Pref,6.81,7.11,7.41
64,ZonadefallasHuaynaputina,Upper,Upper,Upper,Pref,6.89,7.19,7.49
65,ZonadefallasIchuna,Upper,Upper,Upper,Pref,7.32,7.62,7.92
66,ZonadefallasPastoGrande,Upper,Upper,Upper,Pref,7.08,7.38,7.68
67,ZonadefallasTicsani-Suches,Upper,Upper,Upper,Pref,6.95,7.25,7.55
68,FallaPurgatorio,Upper,Pref,Upper,Pref,7.0,7.3,7.6
69,FallaIncapuquio,Upper,Pref,Upper,Pref,7.25,7.55,7.85
70,FallaMicalaco,Upper,Pref,Upper,Pref,6.77,7.07,7.37
71,FallaCerroRocoso,Upper,Pref,Upper,Pref,6.37,6.67,6.97
72,FallaChascoso,Upper,Pref,Upper,Pref,6.0,6.3,6.6
73,FallaChololo,Upper,Pref,Upper,Pref,7.08,7.38,7.68
74,FallaChulibaya,Upper,Pref,Upper,Pref,6.22,6.52,6.82
75,FallaCupine-pampaTrapiche,Upper,Pref,Upper,Pref,7.29,7.59,7.89
76,FallaMesacalane,Upper,Pref,Upper,Pref,6.24,6.54,6.84
77,FallaTambo,Upper,Pref,Upper,Pref,6.93,7.23,7.53
78,FallaToquepala,Upper,Pref,Upper,Pref,7.02,7.32,7.62
79,ZonadefallasCarumas-Calacoa,Upper,Pref,Upper,Pref,7.09,7.39,7.69
80,ZonadefallasCoralaque,Upper,Pref,Upper,Pref,6.73,7.03,7.33
81,ZonadefallasHuaynaputina,Upper,Pref,Upper,Pref,6.81,7.11,7.41
82,ZonadefallasIchuna,Upper,Pref,Upper,Pref,7.24,7.54,7.84
83,ZonadefallasPastoGrande,Upper,Pref,Upper,Pref,7.0,7.3,7.6
84,ZonadefallasTicsani-Suches,Upper,Pref,Upper,Pref,6.87,7.17,7.47
85,FallaPurgatorio,Upper,Lower,Upper,Pref,6.91,7.21,7.51
86,FallaIncapuquio,Upper,Lower,Upper,Pref,7.15,7.45,7.75
87,FallaMicalaco,Upper,Lower,Upper,Pref,6.68,6.98,7.28
88,FallaCerroRocoso,Upper,Lower,Upper,Pref,6.28,6.58,6.88
89,FallaChascoso,Upper,Lower,Upper,Pref,5.9,6.2,6.5
90,FallaChololo,Upper,Lower,Upper,Pref,6.98,7.28,7.58
91,FallaChulibaya,Upper,Lower,Upper,Pref,6.12,6.42,6.72
92,FallaCupine-pampaTrapiche,Upper,Lower,Upper,Pref,7.19,7.49,7.79
93,FallaMesacalane,Upper,Lower,Upper,Pref,6.14,6.44,6.74
94,FallaTambo,Upper,Lower,Upper,Pref,6.84,7.14,7.44
95,FallaToquepala,Upper,Lower,Upper,Pref,6.93,7.23,7.53
96,ZonadefallasCarumas-Calacoa,Upper,Lower,Upper,Pref,6.99,7.29,7.59
97,ZonadefallasCoralaque,Upper,Lower,Upper,Pref,6.63,6.93,7.23
98,ZonadefallasHuaynaputina,Upper,Lower,Upper,Pref,6.71,7.01,7.31
99,ZonadefallasIchuna,Upper,Lower,Upper,Pref,7.15,7.45,7.75
100,ZonadefallasPastoGrande,Upper,Lower,Upper,Pref,6.91,7.21,7.51
101,ZonadefallasTicsani-Suches,Upper,Lower,Upper,Pref,6.77,7.07,7.37
102,FallaPurgatorio,Upper,Upper,Upper,Lower,7.08,7.38,7.68
103,FallaIncapuquio,Upper,Upper,Upper,Lower,7.33,7.63,7.93
104,FallaMicalaco,Upper,Upper,Upper,Lower,6.85,7.15,7.45
105,FallaCerroRocoso,Upper,Upper,Upper,Lower,6.45,6.75,7.05
106,FallaChascoso,Upper,Upper,Upper,Lower,6.08,6.38,6.68
107,FallaChololo,Upper,Upper,Upper,Lower,7.16,7.46,7.76
108,FallaChulibaya,Upper,Upper,Upper,Lower,6.3,6.6,6.9
109,FallaCupine-pampaTrapiche,Upper,Upper,Upper,Lower,7.37,7.67,7.97
110,FallaMesacalane,Upper,Upper,Upper,Lower,6.31,6.61,6.91
111,FallaTambo,Upper,Upper,Upper,Lower,7.01,7.31,7.61
112,FallaToquepala,Upper,Upper,Upper,Lower,7.1,7.4,7.7
113,ZonadefallasCarumas-Calacoa,Upper,Upper,Upper,Lower,7.17,7.47,7.77
114,ZonadefallasCoralaque,Upper,Upper,Upper,Lower,6.81,7.11,7.41
115,ZonadefallasHuaynaputina,Upper,Upper,Upper,Lower,6.89,7.19,7.49
116,ZonadefallasIchuna,Upper,Upper,Upper,Lower,7.32,7.62,7.92
117,ZonadefallasPastoGrande,Upper,Upper,Upper,Lower,7.08,7.38,7.68
118,ZonadefallasTicsani-Suches,Upper,Upper,Upper,Lower,6.95,7.25,7.55
119,FallaPurgatorio,Upper,Pref,Upper,Lower,7.0,7.3,7.6
120,FallaIncapuquio,Upper,Pref,Upper,Lower,7.25,7.55,7.85
121,FallaMicalaco,Upper,Pref,Upper,Lower,6.77,7.07,7.37
122,FallaCerroRocoso,Upper,Pref,Upper,Lower,6.37,6.67,6.97
123,FallaChascoso,Upper,Pref,Upper,Lower,6.0,6.3,6.6
124,FallaChololo,Upper,Pref,Upper,Lower,7.08,7.38,7.68
125,FallaChulibaya,Upper,Pref,Upper,Lower,6.22,6.52,6.82
126,FallaCupine-pampaTrapiche,Upper,Pref,Upper,Lower,7.29,7.59,7.89
127,FallaMesacalane,Upper,Pref,Upper,Lower,6.24,6.54,6.84
128,FallaTambo,Upper,Pref,Upper,Lower,6.93,7.23,7.53
129,FallaToquepala,Upper,Pref,Upper,Lower,7.02,7.32,7.62
130,ZonadefallasCarumas-Calacoa,Upper,Pref,Upper,Lower,7.09,7.39,7.69
131,ZonadefallasCoralaque,Upper,Pref,Upper,Lower,6.73,7.03,7.33
132,ZonadefallasHuaynaputina,Upper,Pref,Upper,Lower,6.81,7.11,7.41
133,ZonadefallasIchuna,Upper,Pref,Upper,Lower,7.24,7.54,7.84
134,ZonadefallasPastoGrande,Upper,Pref,Upper,Lower,7.0,7.3,7.6
135,ZonadefallasTicsani-Suches,Upper,Pref,Upper,Lower,6.87,7.17,7.47
136,FallaPurgatorio,Upper,Lower,Upper,Lower,6.91,7.21,7.51
137,FallaIncapuquio,Upper,Lower,Upper,Lower,7.15,7.45,7.75
138,FallaMicalaco,Upper,Lower,Upper,Lower,6.68,6.98,7.28
139,FallaCerroRocoso,Upper,Lower,Upper,Lower,6.28,6.58,6.88
140,FallaChascoso,Upper,Lower,Upper,Lower,5.9,6.2,6.5
141,FallaChololo,Upper,Lower,Upper,Lower,6.98,7.28,7.58
142,FallaChulibaya,Upper,Lower,Upper,Lower,6.12,6.42,6.72
143,FallaCupine-pampaTrapiche,Upper,Lower,Upper,Lower,7.19,7.49,7.79
144,FallaMesacalane,Upper,Lower,Upper,Lower,6.14,6.44,6.74
145,FallaTambo,Upper,Lower,Upper,Lower,6.84,7.14,7.44
146,FallaToquepala,Upper,Lower,Upper,Lower,6.93,7.23,7.53
147,ZonadefallasCarumas-Calacoa,Upper,Lower,Upper,Lower,6.99,7.29,7.59
148,ZonadefallasCoralaque,Upper,Lower,Upper,Lower,6.63,6.93,7.23
149,ZonadefallasHuaynaputina,Upper,Lower,Upper,Lower,6.71,7.01,7.31
150,ZonadefallasIchuna,Upper,Lower,Upper,Lower,7.15,7.45,7.75
