Unnamed: 0,Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value,Smoothed Rate Scaled
88,-74.8537,-5.61989,188.8522034,0,585.616,1.15,808.5297422
89,-74.7537,-5.61989,197.952301,0,239.26,1.15,330.3339153
90,-74.6537,-5.61989,207.6999054,0,75.1987,1.15,103.8229583
91,-74.5537,-5.61989,218.1092987,0,18.4476,1.15,25.46964781
146,-75.6537,-5.71989,135.2006073,0,4199.87,1.15,5798.543429
147,-75.5537,-5.71989,139.5240936,14254,3693.07,1.15,5098.830864
148,-75.4537,-5.71989,144.3424988,0,3164.09,1.15,4368.495519
149,-75.3537,-5.71989,149.6529999,0,2912.8,1.15,4021.552405
150,-75.2537,-5.71989,155.4575958,0,2901.02,1.15,4005.288368
151,-75.1537,-5.71989,161.7671051,0,2817.62,1.15,3890.142299
152,-75.0537,-5.71989,168.6029053,14254,2405.54,1.15,3321.204742
153,-74.9537,-5.71989,175.9960938,0,1707.93,1.15,2358.050673
154,-74.8537,-5.71989,183.9848938,0,990.113,1.15,1366.997843
155,-74.7537,-5.71989,192.6085968,0,466.931,1.15,644.6674973
156,-74.6537,-5.71989,201.9015045,0,176.526,1.15,243.720324
157,-74.5537,-5.71989,211.8856049,0,51.8459,1.15,71.58095435
211,-76.4537,-5.81989,118.1697388,0,6587.68,1.15,9095.269276
212,-76.3537,-5.81989,118.8153915,0,5811.36,1.15,8023.444378
213,-76.2537,-5.81989,119.7727966,14254,5427.33,1.15,7493.234007
214,-76.1537,-5.81989,121.0858002,0,5213.53,1.15,7198.051397
215,-76.0537,-5.81989,122.7912979,0,5049.31,1.15,6971.321331
216,-75.9537,-5.81989,124.918602,14254,4984.65,1.15,6882.048612
217,-75.8537,-5.81989,127.4889984,0,5156.23,1.15,7118.940249
218,-75.7537,-5.81989,130.5158997,0,5459.81,1.15,7538.077464
219,-75.6537,-5.81989,134.0057983,0,5473.99,1.15,7557.655057
220,-75.5537,-5.81989,137.9595032,0,5055.38,1.15,6979.701867
221,-75.4537,-5.81989,142.3760071,0,4580.09,1.15,6323.49353
222,-75.3537,-5.81989,147.2557983,0,4367.33,1.15,6029.746795
223,-75.2537,-5.81989,152.6053009,14254,4297.37,1.15,5933.156639
224,-75.1537,-5.81989,158.4405975,0,4044.16,1.15,5583.56268
225,-75.0537,-5.81989,164.7890015,0,3445.85,1.15,4757.506988
226,-74.9537,-5.81989,171.6889038,0,2607.79,1.15,3600.440863
227,-74.8537,-5.81989,179.1860962,0,1726.06,1.15,2383.081826
228,-74.7537,-5.81989,187.328598,0,956.504,1.15,1320.595634
229,-74.6537,-5.81989,196.158905,0,416.46,1.15,574.9847963
230,-74.5537,-5.81989,205.7073059,0,134.545,1.15,185.7593272
231,-74.4537,-5.81989,215.9855042,0,31.0719,1.15,42.8993663
276,-77.2537,-5.91989,118.1690292,0,3734.97,1.15,5156.680028
277,-77.1537,-5.91989,118.2942505,14254,5391.08,1.15,7443.185505
278,-77.0537,-5.91989,118.3360367,14254,6991.82,1.15,9653.244485
279,-76.9537,-5.91989,118.3152313,0,8128.71,1.15,11222.88975
280,-76.8537,-5.91989,118.2647934,0,9034.22,1.15,12473.0806
281,-76.7537,-5.91989,118.2282104,14254,9914.44,1.15,13688.35486
282,-76.6537,-5.91989,118.2567062,14254,10395.3,1.15,14352.2534
283,-76.5537,-5.91989,118.4056168,14254,10168.6,1.15,14039.26043
284,-76.4537,-5.91989,118.7309265,0,9528.89,1.15,13156.0459
285,-76.3537,-5.91989,119.2862778,0,8898.5,1.15,12285.69901
286,-76.2537,-5.91989,120.1205978,14254,8334.71,1.15,11507.3033
