Unnamed: 0,Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value,Smoothed Rate Scaled
131,-71.0076,-13.6739,197.4255981,0,62.8322,1.22,20.41745447
132,-70.9076,-13.6739,210.2978973,0,39.5004,1.22,12.83573739
133,-70.8076,-13.6739,224.5039062,0,72.42,1.22,23.53303009
134,-70.7076,-13.6739,240.0522003,0,171.174,1.22,55.62334841
135,-70.6076,-13.6739,256.90979,0,298.075,1.22,96.86009311
136,-70.5076,-13.6739,274.9963989,0,359.205,1.22,116.7244141
137,-70.4076,-13.6739,294.1813965,0,298.075,1.22,96.86009311
138,-70.3076,-13.6739,314.2843018,0,170.324,1.22,55.34713914
188,-71.6076,-13.7739,143.0827942,0,1077.25,1.22,350.0546349
189,-71.5076,-13.7739,149.136795,0,733.947,1.22,238.4976088
190,-71.4076,-13.7739,156.0227966,0,635.439,1.22,206.4872287
191,-71.3076,-13.7739,163.8253937,0,677.64,1.22,220.2005317
192,-71.2076,-13.7739,172.6356049,0,637.655,1.22,207.2073226
193,-71.1076,-13.7739,182.5462952,0,450.554,1.22,146.4084623
194,-71.0076,-13.7739,193.6457062,0,236.017,1.22,76.69421654
195,-70.9076,-13.7739,206.0074005,0,128.413,1.22,41.72807225
196,-70.8076,-13.7739,219.6799011,0,193.229,1.22,62.79016667
197,-70.7076,-13.7739,234.675705,0,442.043,1.22,143.6427951
198,-70.6076,-13.7739,250.962204,0,767.401,1.22,249.3685559
199,-70.5076,-13.7739,268.4559937,0,924.202,1.22,300.321368
200,-70.4076,-13.7739,287.0220947,0,766.982,1.22,249.232401
201,-70.3076,-13.7739,306.4765015,0,438.369,1.22,142.4489211
251,-72.2076,-13.8739,119.5743484,0,1239.94,1.22,402.9210898
252,-72.1076,-13.8739,121.9309998,0,1700.51,1.22,552.5842722
253,-72.0076,-13.8739,124.7754974,0,2422.83,1.22,787.3036631
254,-71.9076,-13.8739,128.141098,0,3140.08,1.22,1020.375547
255,-71.8076,-13.8739,132.0630035,0,3389.43,1.22,1101.40235
256,-71.7076,-13.8739,136.581604,0,2961.6,1.22,962.3780986
257,-71.6076,-13.8739,141.7454987,0,2156.13,1.22,700.6389417
258,-71.5076,-13.8739,147.613205,0,1575.04,1.22,511.8125339
259,-71.4076,-13.8739,154.2550964,0,1547.72,1.22,502.9348429
260,-71.3076,-13.8739,161.7528992,0,1767.65,1.22,574.4015553
261,-71.2076,-13.8739,170.1983948,0,1693.01,1.22,550.1471315
262,-71.1076,-13.8739,179.6884003,0,1200.98,1.22,390.2609565
263,-71.0076,-13.8739,190.3170929,0,624.64,1.22,202.9780712
264,-70.9076,-13.8739,202.1652985,0,305.704,1.22,99.33915258
265,-70.8076,-13.8739,215.2884064,0,369.172,1.22,119.9632116
266,-70.7076,-13.8739,229.7037964,0,799.733,1.22,259.8749068
267,-70.6076,-13.8739,245.3816071,0,1378.97,1.22,448.0991784
268,-70.5076,-13.8739,262.2388,0,1658.3,1.22,538.8680446
269,-70.4076,-13.8739,280.1395874,0,1375.45,1.22,446.955347
270,-70.3076,-13.8739,298.9010925,0,786.195,1.22,255.4757054
271,-70.2076,-13.8739,318.3017883,0,309.477,1.22,100.5651968
314,-72.8076,-13.9739,112.5036316,65833,28360.2,1.22,9215.706156
315,-72.7076,-13.9739,112.8295898,0,17654.6,1.22,5736.899102
316,-72.6076,-13.9739,113.3472137,0,8919.52,1.22,2898.416632
317,-72.5076,-13.9739,114.1290817,0,4339.23,1.22,1410.041841
318,-72.4076,-13.9739,115.2394714,0,3106.1,1.22,1009.333675
319,-72.3076,-13.9739,116.731842,0,3315.85,1.22,1077.492375
320,-72.2076,-13.9739,118.6487198,0,3676.36,1.22,1194.640852
321,-72.1076,-13.9739,121.0233002,0,4022.27,1.22,1307.045028
322,-72.0076,-13.9739,123.8824005,0,4638.74,1.22,1507.368241
323,-71.9076,-13.9739,127.2503967,32916,5336.12,1.22,1733.983326
324,-71.8076,-13.9739,131.1528015,0,5437.96,1.22,1767.076447
325,-71.7076,-13.9739,135.6201935,32916,4580.8,1.22,1488.540517
