#,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T12:56:48', checksum=4213204958"
rlz_id,branch_path,weight
0,AA~AAA,5.0000002e-04
1,AA~AAB,5.0000002e-04
2,AA~AAC,1.0000000e-03
3,AA~AAD,5.0000002e-04
4,AA~AAE,1.2500000e-03
5,AA~AAF,1.2500000e-03
6,AA~ABA,5.0000002e-04
7,AA~ABB,5.0000002e-04
8,AA~ABC,1.0000000e-03
9,AA~ABD,5.0000002e-04
10,AA~ABE,1.2500000e-03
11,AA~ABF,1.2500000e-03
12,AA~ACA,1.0000000e-03
13,AA~ACB,1.0000000e-03
14,AA~ACC,2.0000001e-03
15,AA~ACD,1.0000000e-03
16,AA~ACE,2.4999999e-03
17,AA~ACF,2.4999999e-03
18,AA~ADA,5.0000002e-04
19,AA~ADB,5.0000002e-04
20,AA~ADC,1.0000000e-03
21,AA~ADD,5.0000002e-04
22,AA~ADE,1.2500000e-03
23,AA~ADF,1.2500000e-03
24,AA~AEA,1.2500000e-03
25,AA~AEB,1.2500000e-03
26,AA~AEC,2.4999999e-03
27,AA~AED,1.2500000e-03
28,AA~AEE,3.1250000e-03
29,AA~AEF,3.1250000e-03
30,AA~AFA,1.2500000e-03
31,AA~AFB,1.2500000e-03
32,AA~AFC,2.4999999e-03
33,AA~AFD,1.2500000e-03
34,AA~AFE,3.1250000e-03
35,AA~AFF,3.1250000e-03
36,AA~BAA,5.0000002e-04
37,AA~BAB,5.0000002e-04
38,AA~BAC,1.0000000e-03
39,AA~BAD,5.0000002e-04
40,AA~BAE,1.2500000e-03
41,AA~BAF,1.2500000e-03
42,AA~BBA,5.0000002e-04
43,AA~BBB,5.0000002e-04
44,AA~BBC,1.0000000e-03
45,AA~BBD,5.0000002e-04
46,AA~BBE,1.2500000e-03
47,AA~BBF,1.2500000e-03
48,AA~BCA,1.0000000e-03
49,AA~BCB,1.0000000e-03
50,AA~BCC,2.0000001e-03
51,AA~BCD,1.0000000e-03
52,AA~BCE,2.4999999e-03
53,AA~BCF,2.4999999e-03
54,AA~BDA,5.0000002e-04
55,AA~BDB,5.0000002e-04
56,AA~BDC,1.0000000e-03
57,AA~BDD,5.0000002e-04
58,AA~BDE,1.2500000e-03
59,AA~BDF,1.2500000e-03
60,AA~BEA,1.2500000e-03
61,AA~BEB,1.2500000e-03
62,AA~BEC,2.4999999e-03
63,AA~BED,1.2500000e-03
64,AA~BEE,3.1250000e-03
65,AA~BEF,3.1250000e-03
66,AA~BFA,1.2500000e-03
67,AA~BFB,1.2500000e-03
68,AA~BFC,2.4999999e-03
69,AA~BFD,1.2500000e-03
70,AA~BFE,3.1250000e-03
71,AA~BFF,3.1250000e-03
72,AA~CAA,5.0000002e-04
73,AA~CAB,5.0000002e-04
74,AA~CAC,1.0000000e-03
75,AA~CAD,5.0000002e-04
76,AA~CAE,1.2500000e-03
77,AA~CAF,1.2500000e-03
78,AA~CBA,5.0000002e-04
79,AA~CBB,5.0000002e-04
80,AA~CBC,1.0000000e-03
81,AA~CBD,5.0000002e-04
82,AA~CBE,1.2500000e-03
83,AA~CBF,1.2500000e-03
84,AA~CCA,1.0000000e-03
85,AA~CCB,1.0000000e-03
86,AA~CCC,2.0000001e-03
87,AA~CCD,1.0000000e-03
88,AA~CCE,2.4999999e-03
89,AA~CCF,2.4999999e-03
90,AA~CDA,5.0000002e-04
91,AA~CDB,5.0000002e-04
92,AA~CDC,1.0000000e-03
93,AA~CDD,5.0000002e-04
94,AA~CDE,1.2500000e-03
95,AA~CDF,1.2500000e-03
96,AA~CEA,1.2500000e-03
97,AA~CEB,1.2500000e-03
98,AA~CEC,2.4999999e-03
99,AA~CED,1.2500000e-03
100,AA~CEE,3.1250000e-03
101,AA~CEF,3.1250000e-03
102,AA~CFA,1.2500000e-03
103,AA~CFB,1.2500000e-03
104,AA~CFC,2.4999999e-03
105,AA~CFD,1.2500000e-03
106,AA~CFE,3.1250000e-03
107,AA~CFF,3.1250000e-03
108,AA~DAA,5.0000002e-04
109,AA~DAB,5.0000002e-04
110,AA~DAC,1.0000000e-03
111,AA~DAD,5.0000002e-04
112,AA~DAE,1.2500000e-03
113,AA~DAF,1.2500000e-03
114,AA~DBA,5.0000002e-04
115,AA~DBB,5.0000002e-04
116,AA~DBC,1.0000000e-03
117,AA~DBD,5.0000002e-04
118,AA~DBE,1.2500000e-03
119,AA~DBF,1.2500000e-03
120,AA~DCA,1.0000000e-03
121,AA~DCB,1.0000000e-03
122,AA~DCC,2.0000001e-03
123,AA~DCD,1.0000000e-03
124,AA~DCE,2.4999999e-03
125,AA~DCF,2.4999999e-03
126,AA~DDA,5.0000002e-04
127,AA~DDB,5.0000002e-04
128,AA~DDC,1.0000000e-03
129,AA~DDD,5.0000002e-04
130,AA~DDE,1.2500000e-03
131,AA~DDF,1.2500000e-03
132,AA~DEA,1.2500000e-03
133,AA~DEB,1.2500000e-03
134,AA~DEC,2.4999999e-03
135,AA~DED,1.2500000e-03
136,AA~DEE,3.1250000e-03
137,AA~DEF,3.1250000e-03
138,AA~DFA,1.2500000e-03
139,AA~DFB,1.2500000e-03
140,AA~DFC,2.4999999e-03
141,AA~DFD,1.2500000e-03
142,AA~DFE,3.1250000e-03
143,AA~DFF,3.1250000e-03
144,AA~EAA,5.0000002e-04
145,AA~EAB,5.0000002e-04
146,AA~EAC,1.0000000e-03
147,AA~EAD,5.0000002e-04
148,AA~EAE,1.2500000e-03
149,AA~EAF,1.2500000e-03
150,AA~EBA,5.0000002e-04
151,AA~EBB,5.0000002e-04
152,AA~EBC,1.0000000e-03
153,AA~EBD,5.0000002e-04
154,AA~EBE,1.2500000e-03
155,AA~EBF,1.2500000e-03
156,AA~ECA,1.0000000e-03
157,AA~ECB,1.0000000e-03
158,AA~ECC,2.0000001e-03
159,AA~ECD,1.0000000e-03
160,AA~ECE,2.4999999e-03
161,AA~ECF,2.4999999e-03
162,AA~EDA,5.0000002e-04
163,AA~EDB,5.0000002e-04
164,AA~EDC,1.0000000e-03
165,AA~EDD,5.0000002e-04
166,AA~EDE,1.2500000e-03
167,AA~EDF,1.2500000e-03
168,AA~EEA,1.2500000e-03
169,AA~EEB,1.2500000e-03
170,AA~EEC,2.4999999e-03
171,AA~EED,1.2500000e-03
172,AA~EEE,3.1250000e-03
173,AA~EEF,3.1250000e-03
174,AA~EFA,1.2500000e-03
175,AA~EFB,1.2500000e-03
176,AA~EFC,2.4999999e-03
177,AA~EFD,1.2500000e-03
178,AA~EFE,3.1250000e-03
179,AA~EFF,3.1250000e-03
180,AB~AAA,5.0000002e-04
181,AB~AAB,5.0000002e-04
182,AB~AAC,1.0000000e-03
183,AB~AAD,5.0000002e-04
184,AB~AAE,1.2500000e-03
185,AB~AAF,1.2500000e-03
186,AB~ABA,5.0000002e-04
187,AB~ABB,5.0000002e-04
188,AB~ABC,1.0000000e-03
189,AB~ABD,5.0000002e-04
190,AB~ABE,1.2500000e-03
191,AB~ABF,1.2500000e-03
192,AB~ACA,1.0000000e-03
193,AB~ACB,1.0000000e-03
194,AB~ACC,2.0000001e-03
195,AB~ACD,1.0000000e-03
196,AB~ACE,2.4999999e-03
197,AB~ACF,2.4999999e-03
198,AB~ADA,5.0000002e-04
199,AB~ADB,5.0000002e-04
200,AB~ADC,1.0000000e-03
201,AB~ADD,5.0000002e-04
202,AB~ADE,1.2500000e-03
203,AB~ADF,1.2500000e-03
204,AB~AEA,1.2500000e-03
205,AB~AEB,1.2500000e-03
206,AB~AEC,2.4999999e-03
207,AB~AED,1.2500000e-03
208,AB~AEE,3.1250000e-03
209,AB~AEF,3.1250000e-03
210,AB~AFA,1.2500000e-03
211,AB~AFB,1.2500000e-03
212,AB~AFC,2.4999999e-03
213,AB~AFD,1.2500000e-03
214,AB~AFE,3.1250000e-03
215,AB~AFF,3.1250000e-03
216,AB~BAA,5.0000002e-04
217,AB~BAB,5.0000002e-04
218,AB~BAC,1.0000000e-03
219,AB~BAD,5.0000002e-04
220,AB~BAE,1.2500000e-03
221,AB~BAF,1.2500000e-03
222,AB~BBA,5.0000002e-04
