eventID;year;month;day;hour;minute;second;longitude;latitude;depth;magnitude
0;1471;1;1;0;0;0;-71.000;-16.300;25;8
1;1513;1;1;0;0;0;-72.300;-17.210;30;8.69
2;1533;1;1;0;0;0;-77.800;-12.200;30;6.52
3;1541;4;1;0;0;0;-78.269;-0.140;30;6.32
4;1543;1;1;0;0;0;-70.500;-19.000;30;7.37
5;1552;7;2;10;30;0;-71.300;-16.600;30;7.6
6;1555;11;15;0;0;0;-77.600;-11.900;30;8.4
7;1557;2;1;0;0;0;-78.500;-1.500;30;5.89
8;1560;1;22;0;0;0;-78.500;-0.220;30;4.95
9;1566;1;1;0;0;0;-76.599;2.500;30;5.89
10;1568;4;4;0;0;0;-77.700;-12.300;30;7.39
11;1575;9;8;0;0;0;-78.500;-0.220;30;5.89
12;1578;6;17;0;0;0;-77.299;-12.699;60;6.23
13;1581;1;1;0;0;0;-71.500;-14.100;15;6.42
14;1582;1;22;16;30;0;-71.600;-16.600;30;7.5
15;1586;7;10;0;30;0;-77.028;-12.109;40;8.59
16;1587;8;31;0;0;0;-78.330;-0.050;30;6.4
17;1590;1;1;0;0;0;-72.900;-17.200;40;7.7
18;1590;1;1;0;0;0;-71.900;-13.500;15;6.23
19;1590;4;1;0;0;0;-78.500;-0.220;30;4.95
20;1600;2;28;20;0;0;-70.800;-16.600;20;8.1
21;1604;11;24;18;30;0;-70.940;-17.880;30;9.39
22;1604;12;1;0;0;0;-71.250;-29.899;30;7.37
23;1606;3;23;20;0;0;-80.300;-7.000;40;6.52
24;1606;10;25;13;0;0;-77.800;-11.800;60;6.81
25;1609;10;20;1;0;0;-77.400;-11.900;55;7.41
26;1615;9;16;0;0;0;-71.000;-18.250;40;8.79
27;1619;2;14;16;30;0;-79.038;-7.941;40;8.7
28;1627;6;26;11;0;0;-78.500;-0.220;30;5.89
29;1630;11;27;15;30;0;-77.500;-12.200;30;7.51
30;1639;12;1;0;0;0;-71.349;-29.949;30;7.37
31;1645;3;15;0;0;0;-78.800;-1.730;10;7
32;1647;5;13;15;30;0;-76.500;-14.000;40;6.52
33;1650;3;31;16;10;0;-72.200;-13.600;70;7.41
34;1650;11;10;16;0;0;-65.319;-19.039;30;6.47
35;1651;12;4;0;0;0;-78.500;-0.220;30;4.95
36;1653;7;9;0;0;0;-79.900;-2.200;30;5.42
37;1655;11;13;19;45;0;-77.600;-12.300;30;7.7
38;1655;12;15;0;0;0;-78.500;-0.220;30;5.42
39;1658;2;14;0;0;0;-80.100;-8.200;40;7.7
40;1660;10;27;15;0;0;-78.590;-0.190;30;5.89
41;1662;3;1;0;0;0;-78.500;-0.220;30;5.89
42;1664;5;22;9;15;0;-75.850;-14.100;15;7.5
43;1668;8;10;0;0;0;-78.200;0.300;30;5.42
44;1674;8;29;0;0;0;-79.050;-1.670;30;6.45
45;1678;1;5;6;30;0;-78.500;-0.220;30;4.95
46;1678;6;16;1;45;0;-77.800;-12.300;40;7.7
47;1678;6;18;1;45;0;-79.000;-9.000;40;8.4
48;1681;3;10;0;0;0;-70.350;-18.500;30;7.26
49;1687;1;28;0;0;0;-74.552;-12.582;20;6.52
50;1687;4;1;5;0;0;-77.200;-12.300;30;6.23
51;1687;7;12;6;0;0;-70.730;-32.750;30;7.3
52;1687;10;20;9;15;0;-78.200;-11.350;70;6.02
53;1687;10;20;10;30;0;-76.507;-13.231;30;8.6
54;1687;10;20;11;30;0;-75.900;-15.200;28;8.4
55;1687;10;21;12;0;0;-71.600;-16.400;60;8
56;1687;11;22;0;0;0;-78.420;-1.250;30;6.25
57;1689;3;1;0;0;0;-78.900;-2.200;5;6.8
58;1690;11;20;19;30;0;-77.000;-12.550;40;7.21
59;1692;9;13;11;0;0;-64.800;-25.400;30;7.01
60;1696;1;1;0;0;0;-77.200;1.200;30;6.32
61;1698;6;20;6;0;0;-78.800;-1.650;10;7.25
62;1698;6;28;11;0;0;-78.299;-1.000;30;5.89
63;1699;7;14;9;0;0;-77.500;-11.800;40;7.8
64;1700;8;2;21;0;0;-72.100;-13.900;10;4.07
65;1703;3;1;0;0;0;-78.650;-0.900;30;5.89
66;1707;9;18;5;0;0;-72.100;-13.900;10;4.4
67;1707;9;18;5;0;0;-72.099;-13.900;10;5.96
68;1709;12;20;10;0;0;-77.300;-12.300;60;7.11
69;1715;8;23;0;0;0;-70.800;-17.300;80;7.5
70;1716;2;11;1;0;0;-76.050;-13.700;50;7.37
71;1718;8;3;11;0;0;-71.519;-13.550;30;6.23
