,Fault Source Name,Slip Rate,Mmax (P)
0,FallaAltolosChilenos,Pref,6.82
1,FallaAyo-Lluta-Arequipa,Pref,8.16
2,FallaBotiflaca,Pref,6.8
3,FallaCaraveli-Sicera-Lluta-Vitor,Pref,8.02
4,FallaCerroCaquilluco,Pref,6.98
5,FallaCerroCordilleras,Pref,7.1
6,FallaCerroLoreto,Pref,6.52
7,FallaCerroMorrito,Pref,6.31
8,FallaCerroPuite,Pref,7.0
9,FallaCerroTresCruces,Pref,6.82
10,FallaChalhuanca,Pref,7.9
11,FallaChanal,Pref,7.18
12,FallaChaspaya,Pref,6.61
13,FallaClemesi,Pref,6.88
14,FallaElAbra,Pref,6.96
15,FallaElFrayle,Pref,7.68
16,FallaGramadal,Pref,7.61
17,FallaLlacmapampa-Sibayo-SanAntoniodeChuca,Pref,8.02
18,FallaLluta,Pref,7.29
19,FallaOestedelRioMoquegua,Pref,6.62
20,FallaOmate-Coalaque,Pref,7.56
21,FallaPallagua,Pref,7.28
22,FallaPuntadeBombon,Pref,7.15
23,FallaPuntas-Inane,Pref,7.33
24,FallaRioCotahuasi-Ichupampa-SanJuandeTarucan,Pref,8.03
25,FallaSama-Calientes,Pref,7.58
26,FallaSanFrancisco,Pref,6.86
27,FallaVillacollo,Pref,6.79
