Unnamed: 0,Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value,Smoothed Rate Scaled
131,-71.0076,-13.6739,197.4255981,0,10.3979,1.07,16.21817619
132,-70.9076,-13.6739,210.2978973,0,6.53678,1.07,10.19577508
133,-70.8076,-13.6739,224.5039062,0,11.9845,1.07,18.69288342
134,-70.7076,-13.6739,240.0522003,0,28.327,1.07,44.18317899
135,-70.6076,-13.6739,256.90979,0,49.3274,1.07,76.93865723
136,-70.5076,-13.6739,274.9963989,0,59.4436,1.07,92.71745044
137,-70.4076,-13.6739,294.1813965,0,49.3274,1.07,76.93865723
138,-70.3076,-13.6739,314.2843018,0,28.1864,1.07,43.96387744
188,-71.6076,-13.7739,143.0827942,0,178.271,1.07,278.059078
189,-71.5076,-13.7739,149.136795,0,121.458,1.07,189.444719
190,-71.4076,-13.7739,156.0227966,0,105.157,1.07,164.0191532
191,-71.3076,-13.7739,163.8253937,0,112.14,1.07,174.9109222
192,-71.2076,-13.7739,172.6356049,0,105.523,1.07,164.5900235
193,-71.1076,-13.7739,182.5462952,0,74.5607,1.07,116.2964223
194,-71.0076,-13.7739,193.6457062,0,39.0577,1.07,60.92044163
195,-70.9076,-13.7739,206.0074005,0,21.2507,1.07,33.14588491
196,-70.8076,-13.7739,219.6799011,0,31.9769,1.07,49.87612865
197,-70.7076,-13.7739,234.675705,0,73.1521,1.07,114.0993514
198,-70.6076,-13.7739,250.962204,0,126.995,1.07,198.0810822
199,-70.5076,-13.7739,268.4559937,0,152.943,1.07,238.5536041
200,-70.4076,-13.7739,287.0220947,0,126.925,1.07,197.9718994
201,-70.3076,-13.7739,306.4765015,0,72.5442,1.07,113.1511764
251,-72.2076,-13.8739,119.5743484,0,205.193,1.07,320.0508012
252,-72.1076,-13.8739,121.9309998,0,281.412,1.07,438.9337652
253,-72.0076,-13.8739,124.7754974,0,400.946,1.07,625.3775156
254,-71.9076,-13.8739,128.141098,0,519.641,1.07,810.5126316
255,-71.8076,-13.8739,132.0630035,0,560.905,1.07,874.8743606
256,-71.7076,-13.8739,136.581604,0,490.105,1.07,764.4437088
257,-71.6076,-13.8739,141.7454987,0,356.81,1.07,556.5361703
258,-71.5076,-13.8739,147.613205,0,260.648,1.07,406.547013
259,-71.4076,-13.8739,154.2550964,0,256.127,1.07,399.4953608
260,-71.3076,-13.8739,161.7528992,0,292.523,1.07,456.2642026
261,-71.2076,-13.8739,170.1983948,0,280.17,1.07,436.9965495
262,-71.1076,-13.8739,179.6884003,0,198.746,1.07,309.995061
263,-71.0076,-13.8739,190.3170929,0,103.37,1.07,161.2318711
264,-70.9076,-13.8739,202.1652985,0,50.5899,1.07,78.90784788
265,-70.8076,-13.8739,215.2884064,0,61.093,1.07,95.29011029
266,-70.7076,-13.8739,229.7037964,0,132.345,1.07,206.4257713
267,-70.6076,-13.8739,245.3816071,0,228.201,1.07,355.9376436
268,-70.5076,-13.8739,262.2388,0,274.426,1.07,428.037317
269,-70.4076,-13.8739,280.1395874,0,227.619,1.07,355.0298662
270,-70.3076,-13.8739,298.9010925,0,130.105,1.07,202.9319202
271,-70.2076,-13.8739,318.3017883,0,51.2143,1.07,79.88175888
314,-72.8076,-13.9739,112.5036316,10894,4693.23,1.07,7320.288811
315,-72.7076,-13.9739,112.8295898,0,2921.6,1.07,4556.980116
316,-72.6076,-13.9739,113.3472137,0,1476.06,1.07,2302.291919
317,-72.5076,-13.9739,114.1290817,0,718.085,1.07,1120.036647
318,-72.4076,-13.9739,115.2394714,0,514.018,1.07,801.7421294
319,-72.3076,-13.9739,116.731842,0,548.729,1.07,855.8827841
320,-72.2076,-13.9739,118.6487198,0,608.389,1.07,948.9377655
321,-72.1076,-13.9739,121.0233002,0,665.631,1.07,1038.221259
322,-72.0076,-13.9739,123.8824005,0,767.65,1.07,1197.345902
323,-71.9076,-13.9739,127.2503967,5447,883.057,1.07,1377.352543
324,-71.8076,-13.9739,131.1528015,0,899.909,1.07,1403.637534
325,-71.7076,-13.9739,135.6201935,5447,758.062,1.07,1182.390971
326,-71.6076,-13.9739,140.6911926,0,541.7,1.07,844.9192664
327,-71.5076,-13.9739,146.4156952,0,413.159,1.07,644.426803
328,-71.4076,-13.9739,152.8565979,0,442.525,1.07,690.2305674
329,-71.3076,-13.9739,160.0906067,0,526.77,1.07,821.6321247
330,-71.2076,-13.9739,168.2071075,0,510.338,1.07,796.0022311
331,-71.1076,-13.9739,177.3036957,0,364.229,1.07,568.1079924
332,-71.0076,-13.9739,187.4774933,0,190.99,1.07,297.8976014
333,-70.9076,-13.9739,198.8144989,0,89.282,1.07,139.2580431
334,-70.8076,-13.9739,211.3757019,0,86.7522,1.07,135.312175
335,-70.7076,-13.9739,225.1838989,0,169.094,1.07,263.7452066
336,-70.6076,-13.9739,240.2138062,0,284.021,1.07,443.0031659
337,-70.5076,-13.9739,256.3865051,5447,338.723,1.07,528.3248822
