Unnamed: 0,Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value,Smoothed Rate Scaled
88,-74.8537,-5.61989,188.8522034,0,3503.7,1.3,1017.878466
89,-74.7537,-5.61989,197.952301,0,1431.48,1.3,415.8668455
90,-74.6537,-5.61989,207.6999054,0,449.909,1.3,130.7054493
91,-74.5537,-5.61989,218.1092987,0,110.371,1.3,32.06446448
146,-75.6537,-5.71989,135.2006073,0,25127.5,1.3,7299.923269
147,-75.5537,-5.71989,139.5240936,85281,22095.4,1.3,6419.05182
148,-75.4537,-5.71989,144.3424988,0,18930.5,1.3,5499.599938
149,-75.3537,-5.71989,149.6529999,0,17427.1,1.3,5062.839232
150,-75.2537,-5.71989,155.4575958,0,17356.6,1.3,5042.357903
151,-75.1537,-5.71989,161.7671051,0,16857.6,1.3,4897.390767
152,-75.0537,-5.71989,168.6029053,85281,14392.2,1.3,4181.15434
153,-74.9537,-5.71989,175.9960938,0,10218.4,1.3,2968.601569
154,-74.8537,-5.71989,183.9848938,0,5923.78,1.3,1720.94874
155,-74.7537,-5.71989,192.6085968,0,2793.62,1.3,811.58936
156,-74.6537,-5.71989,201.9015045,0,1056.14,1.3,306.8248318
157,-74.5537,-5.71989,211.8856049,0,310.191,1.3,90.11523227
211,-76.4537,-5.81989,118.1697388,0,39413.7,1.3,11450.28299
212,-76.3537,-5.81989,118.8153915,0,34769,1.3,10100.92656
213,-76.2537,-5.81989,119.7727966,85281,32471.3,1.3,9433.409549
214,-76.1537,-5.81989,121.0858002,0,31192.2,1.3,9061.811425
215,-76.0537,-5.81989,122.7912979,0,30209.6,1.3,8776.351089
216,-75.9537,-5.81989,124.918602,85281,29822.8,1.3,8663.97977
217,-75.8537,-5.81989,127.4889984,0,30849.4,1.3,8962.22278
218,-75.7537,-5.81989,130.5158997,0,32665.7,1.3,9489.885724
219,-75.6537,-5.81989,134.0057983,0,32750.5,1.3,9514.521422
220,-75.5537,-5.81989,137.9595032,0,30246,1.3,8786.925846
221,-75.4537,-5.81989,142.3760071,0,27402.3,1.3,7960.78748
222,-75.3537,-5.81989,147.2557983,0,26129.4,1.3,7590.990551
223,-75.2537,-5.81989,152.6053009,85281,25710.9,1.3,7469.409897
224,-75.1537,-5.81989,158.4405975,0,24195.9,1.3,7029.279213
225,-75.0537,-5.81989,164.7890015,0,20616.3,1.3,5989.350635
226,-74.9537,-5.81989,171.6889038,0,15602.2,1.3,4532.677856
227,-74.8537,-5.81989,179.1860962,0,10326.9,1.3,3000.12248
228,-74.7537,-5.81989,187.328598,0,5722.7,1.3,1662.531923
229,-74.6537,-5.81989,196.158905,0,2491.65,1.3,723.862454
230,-74.5537,-5.81989,205.7073059,0,804.971,1.3,233.8563937
231,-74.4537,-5.81989,215.9855042,0,185.901,1.3,54.00708529
276,-77.2537,-5.91989,118.1690292,0,22346.1,1.3,6491.884006
277,-77.1537,-5.91989,118.2942505,85281,32254.5,1.3,9370.425832
278,-77.0537,-5.91989,118.3360367,85281,41831.6,1.3,12152.71994
279,-76.9537,-5.91989,118.3152313,0,48633.5,1.3,14128.77597
280,-76.8537,-5.91989,118.2647934,0,54051.1,1.3,15702.67168
281,-76.7537,-5.91989,118.2282104,85281,59317.4,1.3,17232.61242
282,-76.6537,-5.91989,118.2567062,85281,62194.2,1.3,18068.36684
283,-76.5537,-5.91989,118.4056168,85281,60838,1.3,17674.36999
284,-76.4537,-5.91989,118.7309265,0,57010.7,1.3,16562.48077
