#,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-12T08:55:22', checksum=2893461579"
rlz_id,branch_path,weight
0,AA~AAA,3.2000002e-03
1,AA~AAB,4.8000002e-03
2,AA~AAC,2.4000001e-03
3,AA~AAD,5.6000003e-03
4,AA~ABA,4.8000002e-03
5,AA~ABB,7.1999999e-03
6,AA~ABC,3.5999999e-03
7,AA~ABD,8.3999997e-03
8,AA~ACA,2.4000001e-03
9,AA~ACB,3.5999999e-03
10,AA~ACC,1.8000000e-03
11,AA~ACD,4.1999999e-03
12,AA~ADA,5.6000003e-03
13,AA~ADB,8.3999997e-03
14,AA~ADC,4.1999999e-03
15,AA~ADD,9.8000001e-03
16,AA~BAA,3.2000002e-03
17,AA~BAB,4.8000002e-03
18,AA~BAC,2.4000001e-03
19,AA~BAD,5.6000003e-03
20,AA~BBA,4.8000002e-03
21,AA~BBB,7.1999999e-03
22,AA~BBC,3.5999999e-03
23,AA~BBD,8.3999997e-03
24,AA~BCA,2.4000001e-03
25,AA~BCB,3.5999999e-03
26,AA~BCC,1.8000000e-03
27,AA~BCD,4.1999999e-03
28,AA~BDA,5.6000003e-03
29,AA~BDB,8.3999997e-03
30,AA~BDC,4.1999999e-03
31,AA~BDD,9.8000001e-03
32,AA~CAA,3.2000002e-03
33,AA~CAB,4.8000002e-03
34,AA~CAC,2.4000001e-03
35,AA~CAD,5.6000003e-03
36,AA~CBA,4.8000002e-03
37,AA~CBB,7.1999999e-03
38,AA~CBC,3.5999999e-03
39,AA~CBD,8.3999997e-03
40,AA~CCA,2.4000001e-03
41,AA~CCB,3.5999999e-03
42,AA~CCC,1.8000000e-03
43,AA~CCD,4.1999999e-03
44,AA~CDA,5.6000003e-03
45,AA~CDB,8.3999997e-03
46,AA~CDC,4.1999999e-03
47,AA~CDD,9.8000001e-03
48,AA~DAA,3.2000002e-03
49,AA~DAB,4.8000002e-03
50,AA~DAC,2.4000001e-03
51,AA~DAD,5.6000003e-03
52,AA~DBA,4.8000002e-03
53,AA~DBB,7.1999999e-03
54,AA~DBC,3.5999999e-03
55,AA~DBD,8.3999997e-03
56,AA~DCA,2.4000001e-03
57,AA~DCB,3.5999999e-03
58,AA~DCC,1.8000000e-03
59,AA~DCD,4.1999999e-03
60,AA~DDA,5.6000003e-03
61,AA~DDB,8.3999997e-03
62,AA~DDC,4.1999999e-03
63,AA~DDD,9.8000001e-03
64,AA~EAA,3.2000002e-03
65,AA~EAB,4.8000002e-03
66,AA~EAC,2.4000001e-03
67,AA~EAD,5.6000003e-03
68,AA~EBA,4.8000002e-03
69,AA~EBB,7.1999999e-03
70,AA~EBC,3.5999999e-03
71,AA~EBD,8.3999997e-03
72,AA~ECA,2.4000001e-03
73,AA~ECB,3.5999999e-03
74,AA~ECC,1.8000000e-03
75,AA~ECD,4.1999999e-03
76,AA~EDA,5.6000003e-03
77,AA~EDB,8.3999997e-03
78,AA~EDC,4.1999999e-03
79,AA~EDD,9.8000001e-03
80,AB~AAA,4.8000002e-03
81,AB~AAB,7.2000003e-03
82,AB~AAC,3.6000002e-03
83,AB~AAD,8.4000006e-03
84,AB~ABA,7.2000003e-03
85,AB~ABB,1.0800000e-02
86,AB~ABC,5.4000001e-03
87,AB~ABD,1.2600001e-02
88,AB~ACA,3.6000002e-03
89,AB~ACB,5.4000001e-03
90,AB~ACC,2.7000001e-03
91,AB~ACD,6.3000005e-03
92,AB~ADA,8.4000006e-03
93,AB~ADB,1.2600001e-02
94,AB~ADC,6.3000005e-03
95,AB~ADD,1.4700000e-02
96,AB~BAA,4.8000002e-03
97,AB~BAB,7.2000003e-03
98,AB~BAC,3.6000002e-03
99,AB~BAD,8.4000006e-03
100,AB~BBA,7.2000003e-03
101,AB~BBB,1.0800000e-02
102,AB~BBC,5.4000001e-03
103,AB~BBD,1.2600001e-02
104,AB~BCA,3.6000002e-03
105,AB~BCB,5.4000001e-03
106,AB~BCC,2.7000001e-03
107,AB~BCD,6.3000005e-03
108,AB~BDA,8.4000006e-03
109,AB~BDB,1.2600001e-02
110,AB~BDC,6.3000005e-03
111,AB~BDD,1.4700000e-02
112,AB~CAA,4.8000002e-03
113,AB~CAB,7.2000003e-03
114,AB~CAC,3.6000002e-03
115,AB~CAD,8.4000006e-03
116,AB~CBA,7.2000003e-03
117,AB~CBB,1.0800000e-02
118,AB~CBC,5.4000001e-03
119,AB~CBD,1.2600001e-02
120,AB~CCA,3.6000002e-03
121,AB~CCB,5.4000001e-03
122,AB~CCC,2.7000001e-03
123,AB~CCD,6.3000005e-03
124,AB~CDA,8.4000006e-03
125,AB~CDB,1.2600001e-02
126,AB~CDC,6.3000005e-03
127,AB~CDD,1.4700000e-02
128,AB~DAA,4.8000002e-03
129,AB~DAB,7.2000003e-03
130,AB~DAC,3.6000002e-03
131,AB~DAD,8.4000006e-03
132,AB~DBA,7.2000003e-03
133,AB~DBB,1.0800000e-02
134,AB~DBC,5.4000001e-03
135,AB~DBD,1.2600001e-02
136,AB~DCA,3.6000002e-03
137,AB~DCB,5.4000001e-03
138,AB~DCC,2.7000001e-03
139,AB~DCD,6.3000005e-03
140,AB~DDA,8.4000006e-03
141,AB~DDB,1.2600001e-02
142,AB~DDC,6.3000005e-03
143,AB~DDD,1.4700000e-02
144,AB~EAA,4.8000002e-03
145,AB~EAB,7.2000003e-03
146,AB~EAC,3.6000002e-03
147,AB~EAD,8.4000006e-03
148,AB~EBA,7.2000003e-03
149,AB~EBB,1.0800000e-02
150,AB~EBC,5.4000001e-03
151,AB~EBD,1.2600001e-02
152,AB~ECA,3.6000002e-03
153,AB~ECB,5.4000001e-03
154,AB~ECC,2.7000001e-03
155,AB~ECD,6.3000005e-03
156,AB~EDA,8.4000006e-03
157,AB~EDB,1.2600001e-02
158,AB~EDC,6.3000005e-03
159,AB~EDD,1.4700000e-02
