eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude,Source
M010176A,1976,1,1,1,29,39,-177.64,-28.61,59.0,6.2,0,GCMT_000001
C010576A,1976,1,5,2,31,36,-74.9,-13.29,95.0,6.0,0,GCMT_000002
C010676A,1976,1,6,21,8,19,159.33,51.6,33.0,5.7,0,GCMT_000003
C010976A,1976,1,9,23,54,35,167.87,-15.76,168.0,6.1,0,GCMT_000004
C011376A,1976,1,13,13,29,19,-16.58,66.16,33.0,6.0,0,GCMT_000005
M011476A,1976,1,14,15,56,34,-177.89,-29.21,69.0,6.3,0,GCMT_000006
M011476B,1976,1,14,16,47,33,-177.66,-28.43,33.0,6.5,0,GCMT_000007
B011476C,1976,1,14,22,43,43,-176.85,-28.66,31.0,5.5,0,GCMT_000008
B011576A,1976,1,15,6,6,46,-176.82,-30.38,33.0,5.3,0,GCMT_000009
B011576B,1976,1,15,16,12,22,-177.24,-30.15,33.0,5.1,0,GCMT_000010
M012176A,1976,1,21,10,5,24,149.12,44.92,41.0,6.3,0,GCMT_000011
C012376A,1976,1,23,5,45,30,119.9,-7.48,614.0,6.4,0,GCMT_000012
C012476A,1976,1,24,21,48,25,-177.59,-28.64,78.0,6.2,0,GCMT_000013
B012676A,1976,1,26,19,1,38,-176.46,-29.34,30.0,6.0,0,GCMT_000014
C020376A,1976,2,3,23,57,54,161.89,54.5,33.0,6.0,0,GCMT_000015
M020476A,1976,2,4,9,1,43,-89.1,15.32,5.0,6.2,0,GCMT_000016
B020676A,1976,2,6,16,53,50,146.31,-5.98,37.0,6.0,0,GCMT_000017
C021476A,1976,2,14,3,10,37,-64.42,-57.41,40.0,6.0,0,GCMT_000018
C021576A,1976,2,15,1,54,23,125.79,13.0,33.0,6.1,0,GCMT_000019
C021576B,1976,2,15,21,23,22,-176.79,-28.39,54.0,5.5,0,GCMT_000020
C022276A,1976,2,22,5,11,7,145.24,-3.36,22.0,5.1,0,GCMT_000021
C022376A,1976,2,23,15,14,16,-130.44,51.47,16.0,5.6,0,GCMT_000022
C022876A,1976,2,28,16,27,9,-74.73,-40.0,9.0,6.0,0,GCMT_000023
C030376A,1976,3,3,22,50,10,121.44,-8.23,30.0,6.0,0,GCMT_000024
C030476A,1976,3,4,2,50,0,167.1,-14.74,90.0,6.4,0,GCMT_000025
C030876A,1976,3,8,4,39,55,165.02,-10.73,47.0,6.1,0,GCMT_000026
C031376A,1976,3,13,5,22,44,154.72,-6.26,50.0,5.5,0,GCMT_000027
C032476A,1976,3,24,4,46,4,-177.87,-29.89,33.0,6.4,0,GCMT_000028
C032976A,1976,3,29,5,39,35,-85.88,3.93,33.0,5.9,0,GCMT_000029
C040676A,1976,4,6,13,49,10,152.09,-3.87,21.0,5.8,0,GCMT_000030
C040876A,1976,4,8,2,40,27,63.77,40.31,33.0,6.5,0,GCMT_000031
C040876B,1976,4,8,2,59,5,63.81,40.17,33.0,6.2,0,GCMT_000032
C040976A,1976,4,9,7,8,47,-79.8,0.78,9.0,6.1,0,GCMT_000033
